,name,H,e,a
6634,06635,14.1,0.1103969,1.8899229
6645,06646,14.5,0.10051310000000001,1.9248512999999998
6858,06859,13.9,0.0139547,1.8337357
6869,06870,14.0,0.1130598,1.9270633999999998
6900,06901,13.6,0.1114182,1.9426238999999998
6910,06911,14.1,0.0896861,1.9317878000000002
7085,07086,14.0,0.0873885,1.9089064999999998
7086,07087,14.1,0.1013068,1.9562182000000001
7087,07088,16.7,0.3911923,1.9804157999999998
7172,07173,14.0,0.0131939,1.9563252
7186,07187,14.0,0.0864634,1.9374418000000002
7246,07247,14.5,0.1185406,1.9169898
7340,07341,16.7,0.5067371,1.8414127
7487,07488,14.6,0.048172,1.9587254
7559,07560,14.2,0.10498060000000001,1.9548496
7578,07579,13.8,0.0653309,1.9785515999999999
7659,07660,14.4,0.13986679999999999,1.910223
7780,07781,14.6,0.0696368,1.9566716
7782,07783,14.3,0.0774559,1.934104
7828,07829,14.3,0.0756937,1.9517418999999998
7957,07958,14.4,0.0769901,1.8770036
7958,07959,14.6,0.08534580000000001,1.9428048999999998
8023,08024,14.9,0.0582759,1.9673982
8025,08026,14.9,0.07495210000000001,1.9251819
8033,08034,17.8,0.40927040000000003,1.8299032
8036,08037,16.4,0.41813069999999997,1.9864119999999998
8347,08348,14.3,0.0676785,1.8694963
8403,08404,13.8,0.0774166,1.9680115000000002
8824,08825,14.6,0.030560900000000005,1.8667732
9067,09068,13.8,0.1501325,1.8202768
9068,09069,14.3,0.1182594,1.9131504000000001
9083,09084,15.8,0.07789689999999999,1.8596998
9164,09165,13.7,0.09734989999999999,1.9861147000000001
9386,09387,13.9,0.0891075,1.9391322
9553,09554,14.7,0.0505788,1.9048206
9738,09739,13.7,0.07904030000000001,1.9398538
9872,09873,13.8,0.0762483,1.8618137
10144,10145,16.8,0.6324953000000001,1.900736
10294,10295,16.6,0.3336804,1.9745426
10530,10531,14.8,0.0439305,1.9620601999999998
10635,10636,17.7,0.5137274000000001,1.8838294999999998
10666,10667,15.2,0.08774080000000001,1.9639851000000002
10736,10737,15.2,0.1303049,1.9045935
10840,10841,15.1,0.054148800000000004,1.9385264
11053,11054,16.9,0.447542,1.9785526999999998
11057,11058,14.5,0.06998639999999999,1.9540137999999998
11216,11217,15.1,0.06947360000000001,1.9438963
11278,11279,14.7,0.0451781,1.8828337
11303,11304,14.1,0.0466202,1.9292249
11410,11411,15.3,0.0692263,1.8423443
11436,11437,14.3,0.098175,1.8629345000000002
11788,11789,14.7,0.0497916,1.9516189
11832,11833,15.2,0.0754053,1.9628462
11903,11904,15.0,0.09945369999999999,1.920411
11940,11941,14.2,0.0500681,1.9513848000000003
11975,11976,14.4,0.052876599999999996,1.9793348999999998
12007,12008,13.1,0.3163263,1.9964626
12264,12265,13.9,0.0306921,1.9107067
12266,12267,15.9,0.0702388,1.9282907
12389,12390,15.0,0.15179600000000001,1.8550284
12445,12446,14.9,0.1167588,1.9467857
12493,12494,14.6,0.0315953,1.9226212999999999
12922,12923,15.7,0.49183530000000003,1.9619542
13110,13111,14.3,0.09654810000000001,1.9414817
13185,13186,14.5,0.082975,1.9476716
13244,13245,14.9,0.05774,1.9379453999999998
13477,13478,15.3,0.11542550000000001,1.9223710999999999
13577,13578,13.7,0.0923206,1.943927
14394,14395,15.4,0.0941752,1.9624721
14471,14472,15.2,0.1193475,1.9301863999999997
14763,14764,14.7,0.077816,1.9487383000000003
15008,15009,16.1,0.1146857,1.9501036
15373,15374,14.4,0.1617658,1.9931008000000001
15691,15692,15.0,0.1019365,1.9261005
15785,15786,14.2,0.047655199999999995,1.8832273999999998
15821,15822,14.6,0.07965470000000001,1.9479737000000001
15963,15964,15.1,0.092415,1.9524755
16255,16256,15.0,0.0881178,1.9473296000000002
16420,16421,14.4,0.0637282,1.9306593
16425,16426,14.0,0.0997362,1.9334112
16464,16465,15.7,0.2120587,1.8259043999999998
16561,16562,14.4,0.07344769999999999,1.9464793999999999
16584,16585,14.6,0.10466969999999999,1.9233985
16588,16589,14.5,0.0781788,1.9337703999999998
16668,16669,14.5,0.0847837,1.9341191000000002
16680,16681,14.3,0.06353099999999999,1.8934668000000001
16867,16868,16.6,0.18204879999999998,1.7978915000000002
17082,17083,14.9,0.1002415,1.9579755
17258,17259,15.1,0.0723196,1.9548601000000003
17398,17399,14.9,0.11789549999999999,1.9191775000000002
17407,17408,14.4,0.1072381,1.8830753
17446,17447,14.6,0.11507010000000001,1.9407956999999998
17482,17483,14.9,0.0407281,1.853209
17589,17590,14.7,0.07507760000000001,1.9609377000000001
17600,17601,15.3,0.0645861,1.8195945
17656,17657,15.1,0.0872478,1.9270834
17680,17681,14.3,0.029988900000000002,1.8253057000000001
17823,17824,15.2,0.0315939,1.9403116000000002
18108,18109,17.1,0.3677977,1.8808657
18367,18368,14.7,0.0545981,1.9275198
18581,18582,13.6,0.0675633,1.8585300999999999
18625,18626,15.5,0.08611139999999999,1.9129017
18889,18890,14.7,0.07397089999999999,1.9172997999999999
18928,18929,15.7,0.0912775,1.9200523999999997
19010,19011,15.1,0.0394093,1.9312723000000003
19163,19164,14.2,0.05436130000000001,1.8557773999999998
19246,19247,14.8,0.0640716,1.8696825000000001
19536,19537,14.4,0.059208300000000005,1.9607019
20036,20037,15.2,0.1205762,1.8839232
20042,20043,15.6,0.057755799999999996,1.9690615000000002
20135,20136,14.9,0.06424969999999999,1.9306661
20230,20231,14.0,0.12521960000000001,1.9482526999999998
20459,20460,15.2,0.4119818,1.8768066000000003
20935,20936,14.0,0.1012882,1.8542772
20995,20996,14.8,0.049538900000000004,1.9117475
21055,21056,14.8,0.10688010000000002,1.8503705000000001
21148,21149,14.9,0.0355699,1.9325852
21259,21260,15.5,0.09472699999999999,1.9277335999999998
21260,21261,14.6,0.08860180000000001,1.9431578999999999
21687,21688,13.8,0.07549439999999999,1.9224028000000002
22194,22195,15.3,0.0343448,1.9023108
22789,22790,14.3,0.06319830000000001,1.8948961
23182,23183,16.0,0.40109190000000006,1.824225
23186,23187,16.0,0.5893143,1.8469771000000001
23451,23452,15.2,0.09463350000000001,1.9616631000000002
23481,23482,14.4,0.08288039999999999,1.8857755
23614,23615,14.7,0.1002747,1.9604476999999998
23620,23621,15.6,0.2990508,1.9040423999999998
23714,23715,14.7,0.08225439999999999,1.9311898
23973,23974,14.7,0.1015759,1.9194174
23997,23998,15.7,0.05284830000000001,1.9346233
24041,24042,15.5,0.05614790000000001,1.9549796000000002
24076,24077,14.8,0.05448340000000001,1.9611121
24456,24457,15.0,0.08786820000000001,1.9281773999999998
24464,24465,15.0,0.085007,1.9253334999999998
24474,24475,16.3,0.44224179999999996,1.9743361000000001
24480,24481,15.6,0.0900471,1.9191721000000002
24643,24644,15.9,0.073418,1.8989441999999999
24653,24654,14.5,0.16453289999999998,1.8941918000000002
24686,24687,14.8,0.0614888,1.9514803
24701,24702,14.8,0.0901541,1.9448081000000002
24777,24778,15.2,0.045875599999999996,1.9466715
24808,24809,14.8,0.1594928,1.9370098999999998
24813,24814,14.8,0.260563,1.9621686
24814,24815,15.5,0.10200980000000001,1.9243318999999999
24818,24819,15.0,0.1334253,1.8736496999999999
24880,24881,15.6,0.0714954,1.981014
24882,24883,15.5,0.1556534,1.8763968999999998
25075,25076,15.4,0.0828698,1.9247922
25317,25318,15.2,0.07120689999999999,1.927809
25319,25320,14.7,0.1025067,1.9256662
25324,25325,14.9,0.0728235,1.9309873
25331,25332,13.9,0.062178,1.8920821
25336,25337,15.8,0.0650394,1.919211
25338,25339,15.5,0.109116,1.9707522000000002
25339,25340,15.9,0.07437300000000001,1.9678151000000002
25883,25884,14.7,0.0802737,1.9543366999999998
25891,25892,15.2,0.0802857,1.9139924
26026,26027,15.9,0.12931700000000002,1.9820786
26073,26074,15.0,0.0889648,1.8110373
26226,26227,14.9,0.0919562,1.9223166
26382,26383,14.8,0.058986199999999996,1.9418502
26470,26471,13.4,0.15436860000000002,1.9178401999999999
26713,26714,15.6,0.0742725,1.9182131000000002
26890,26891,14.8,0.044448400000000006,1.9333050999999999
26915,26916,14.5,0.0747088,1.9058798
26919,26920,15.5,0.051667599999999994,1.839653
27265,27266,15.5,0.0809248,1.9194918999999997
27297,27298,15.6,0.0556126,1.9557016
27345,27346,15.9,0.398783,1.8754301
27567,27568,14.7,0.027542200000000003,1.9636330000000002
27600,27601,16.1,0.07727250000000001,1.9340589
27712,27713,14.6,0.08317189999999999,1.9315191999999999
27775,27776,14.9,0.08664089999999999,1.9187740000000002
27809,27810,14.5,0.054124,1.9341279999999998
28065,28066,15.3,0.0946341,1.9802766
28420,28421,15.2,0.0905517,1.9272683999999998
28440,28441,16.0,0.083675,1.9361897000000001
29241,29242,14.6,0.07475,1.9387391999999999
29297,29298,15.0,0.10469529999999999,1.9285582
29307,29308,14.8,0.09260750000000001,1.9261824
29420,29421,15.7,0.094265,1.9352921000000003
29427,29428,15.4,0.090601,1.9547352
29995,29996,15.7,0.053971000000000005,1.9211977999999998
30018,30019,14.7,0.0954653,1.8438417
30233,30234,15.5,0.07937469999999999,1.9100648999999998
30310,30311,14.2,0.1599807,1.9905858
30534,30535,15.0,0.030012900000000002,1.9256306
30576,30577,15.7,0.0815813,1.8180636000000003
30830,30831,15.3,0.100052,1.9546098000000003
30855,30856,14.1,0.10819769999999998,1.8269038
30933,30934,15.5,0.0397506,1.8922232
30934,30935,14.5,0.1177276,1.9033060000000002
30957,30958,14.6,0.079756,1.9660163
31075,31076,15.5,0.15849979999999997,1.8882933999999998
31090,31091,15.8,0.0953767,1.9597375
31172,31173,14.9,0.10415419999999999,1.9301834
31181,31182,14.8,0.06648789999999999,1.9341106
31319,31320,15.3,0.15172879999999997,1.9468953000000002
31342,31343,15.4,0.029457900000000002,1.9326665
31347,31348,15.1,0.07734210000000001,1.9386430000000001
31350,31351,15.2,0.061622199999999995,1.9255498
31353,31354,14.0,0.0869133,1.932349
31792,31793,14.6,0.060599400000000005,1.8627651
31812,31813,15.7,0.13120810000000002,1.9327771
31826,31827,15.1,0.1058229,1.8798939
31830,31831,15.1,0.0681491,1.9369333999999998
31848,31849,16.0,0.082452,1.956023
31849,31850,15.3,0.0818601,1.9286514
31880,31881,16.4,0.11359160000000001,1.7839324
31897,31898,15.4,0.0822961,1.902873
31967,31968,16.1,0.0404273,1.9425113
31985,31986,16.3,0.07212539999999999,1.9683437
32503,32504,15.4,0.1122415,1.9528883999999997
32771,32772,13.9,0.096567,1.9608792000000002
32799,32800,15.2,0.0700624,1.8975407
32813,32814,14.4,0.077762,1.9275933
32889,32890,15.5,0.1668556,1.8824651000000001
32927,32928,15.3,0.071777,1.9315523999999997
33318,33319,15.0,0.0999965,1.9448456000000003
33321,33322,16.0,0.091391,1.907185
33323,33324,15.0,0.0808864,1.9290773
33324,33325,14.8,0.06868880000000001,1.9373015
33325,33326,16.3,0.0755446,1.9437521
33326,33327,16.2,0.08731939999999999,1.9728099
33331,33332,15.6,0.0895367,1.9441077000000002
33338,33339,15.6,0.0894225,1.9527636000000002
33340,33341,15.0,0.05844,1.9367120999999998
33355,33356,14.8,0.0374509,1.9485994999999998
33815,33816,14.9,0.0972469,1.8877973999999997
33830,33831,15.7,0.0445449,1.9378993000000002
33842,33843,15.7,0.07254189999999999,1.9705346999999998
33864,33865,15.8,0.1366623,1.8847179
33887,33888,15.9,0.1237594,1.9542863000000001
33895,33896,14.5,0.056514499999999995,1.9255487
33907,33908,15.2,0.0499615,1.9246931
34744,34745,15.7,0.10194489999999999,1.9020909
34816,34817,14.1,0.11786589999999998,1.8789699
35054,35055,14.7,0.0962375,1.9413218999999997
35086,35087,15.4,0.08820499999999999,1.932764
35133,35134,14.8,0.10375150000000001,1.9614413
35193,35194,14.6,0.1004538,1.9426523
35197,35198,14.9,0.0605391,1.9461580000000003
35668,35669,16.6,0.0967593,1.9444229
35673,35674,15.7,0.1034559,1.9203523999999998
35680,35681,14.8,0.059951199999999996,1.9579199
36282,36283,15.6,0.045968199999999994,1.9218494
36297,36298,14.7,0.0568235,1.9313093000000001
36298,36299,16.2,0.0410382,1.8878266
36315,36316,14.6,0.0931919,1.9951608
36447,36448,16.1,0.07329680000000001,1.9091066000000003
36770,36771,14.7,0.1411965,1.8639273
37377,37378,15.5,0.1383646,1.8453842
37470,37471,15.1,0.0971817,1.9526927
37478,37479,16.7,0.27796259999999995,1.9976918000000001
37560,37561,15.7,0.09767039999999999,1.9436835
37567,37568,15.6,0.1003832,1.7958490000000003
37633,37634,15.5,0.0903596,1.9263032
37634,37635,14.9,0.0850737,1.8541598999999997
37637,37638,19.3,0.5199239999999999,1.9094767
37650,37651,16.1,0.0733791,1.9440134999999998
37702,37703,15.8,0.09432919999999999,1.9767633999999998
37743,37744,14.9,0.11109560000000002,1.9631356
38043,38044,15.5,0.09782560000000001,1.9334041000000002
38046,38047,14.6,0.041819,1.9257081000000003
38047,38048,15.2,0.0740405,1.9647804
38048,38049,16.1,0.07127539999999999,1.9731136999999999
38052,38053,16.1,0.0531351,1.901759
38054,38055,14.8,0.1121795,1.9344683
38060,38061,15.4,0.033998400000000005,1.9655922
38625,38626,15.7,0.0975824,1.9169523999999998
38631,38632,15.7,0.11669949999999998,1.9173460999999998
38681,38682,15.9,0.0694056,1.9704003
39196,39197,14.4,0.0622351,1.9315296999999998
39255,39256,16.2,0.10581660000000001,1.9545092
39419,39420,15.0,0.0789253,1.961454
39560,39561,15.2,0.11173430000000001,1.8697834
39562,39563,15.8,0.07822,1.9313124
39617,39618,15.4,0.0960666,1.9319221000000002
39664,39665,14.9,0.0985803,1.9307808000000002
39786,39787,15.3,0.11145919999999998,1.9232893
39790,39791,15.0,0.1049048,1.9460831000000003
39865,39866,14.7,0.0555533,1.9624473999999998
39890,39891,15.4,0.0941448,1.9567611
40159,40160,15.6,0.029169999999999998,1.9093924
40202,40203,15.4,0.10301010000000001,1.9343151
40228,40229,15.1,0.0854536,1.9269531000000002
40230,40231,15.6,0.0699225,1.9159342000000001
40240,40241,15.7,0.051015,1.9583558
40243,40244,15.1,0.0832031,1.9138822
40246,40247,15.6,0.11451189999999999,1.9444907999999999
40249,40250,14.9,0.057343,1.9286035
40252,40253,15.3,0.0943927,1.9501515999999999
40255,40256,15.2,0.0728956,1.9098083
40263,40264,15.7,0.0403212,1.9561543000000001
40269,40270,15.3,0.0785932,1.9743038
41423,41424,14.7,0.09426749999999999,1.9336447
41463,41464,16.1,0.1274576,1.8969935000000002
41502,41503,16.1,0.1307378,1.9079746
41503,41504,16.4,0.048782099999999995,1.9097131999999999
41573,41574,15.6,0.1288621,1.8561849999999998
41576,41577,14.7,0.18455529999999998,1.8532212
41577,41578,15.9,0.0800096,1.9813431000000001
41659,41660,15.5,0.030357799999999997,1.961328
41671,41672,15.0,0.0688566,1.8994006
41684,41685,15.4,0.040711000000000004,1.9165093
42595,42596,16.6,0.09539860000000001,1.9783667
42805,42806,14.8,0.040792300000000004,1.9273823
42810,42811,14.4,0.1427442,1.8436424
43330,43331,15.3,0.0760778,1.9182256999999998
43333,43334,15.5,0.0722396,1.9158988000000001
43356,43357,15.6,0.0540751,1.9238445
43368,43369,15.3,0.148957,1.9217708999999998
43605,43606,16.2,0.0652064,1.9363042000000001
43633,43634,15.4,0.051355700000000004,1.918337
43868,43869,15.7,0.0340755,1.9503289000000001
44046,44047,16.1,0.0784824,1.9155673999999998
44554,44555,15.7,0.0875423,1.941127
44582,44583,15.6,0.0678255,1.9286593999999997
44587,44588,15.3,0.06639110000000001,1.9332756000000002
44588,44589,15.2,0.06475940000000001,1.9395366000000003
44589,44590,15.8,0.04181819999999999,1.9212758
44599,44600,14.7,0.057514199999999994,1.922289
44640,44641,15.7,0.043304699999999995,1.9280095000000002
45824,45825,15.1,0.10090700000000001,1.9526636000000002
45838,45839,15.6,0.0792199,1.9226782999999998
45873,45874,15.3,0.0953962,1.9570393
45877,45878,14.6,0.099632,1.9344418999999997
45879,45880,15.4,0.0751169,1.937154
45897,45898,14.1,0.0738215,1.9557789
45899,45900,14.9,0.088885,1.9340095000000002
45949,45950,15.7,0.1063588,1.9597213
45959,45960,15.6,0.073058,1.9090964
45961,45962,15.9,0.1093872,1.9089580000000002
46095,46096,15.4,0.1212596,1.9300863000000001
46375,46376,14.8,0.0905212,1.9592661
46512,46513,15.8,0.06947060000000001,1.9104486
46539,46540,15.6,0.039493099999999996,1.9140488999999998
46558,46559,15.4,0.0667426,1.9386907
46567,46568,14.8,0.0990109,1.9630120999999998
46604,46605,16.1,0.0701688,1.9764803
46624,46625,15.9,0.0507677,1.9187081999999998
46878,46879,15.4,0.065263,1.9489131000000002
47134,47135,15.6,0.0786191,1.9067398000000002
47140,47141,15.0,0.058305499999999996,1.9004514
47141,47142,16.2,0.07297680000000001,1.8931237
47142,47143,14.6,0.1121943,1.9236752000000001
47144,47145,15.6,0.13320729999999997,1.8646067
47965,47966,16.5,0.07932280000000001,1.9170116000000001
47967,47968,15.6,0.0905612,1.9303911
47982,47983,15.0,0.10814460000000001,1.9650811999999998
48000,48001,15.4,0.06814450000000001,1.9469205000000003
48335,48336,15.8,0.0946982,1.9606633999999998
48380,48381,15.3,0.1026004,1.9677736000000001
48469,48470,14.9,0.1199805,1.9209087
48526,48527,16.1,0.0800587,1.9542644
48600,48601,14.8,0.06562739999999999,1.9450451000000002
48602,48603,17.6,0.4303566,1.9173040000000001
48702,48703,16.1,0.1068097,1.9154476000000003
48706,48707,15.4,0.1048982,1.9344991000000002
48833,48834,15.5,0.0985494,1.8719633999999998
48843,48844,16.4,0.06684760000000001,1.9643468000000002
48846,48847,15.4,0.0868786,1.9366281000000003
49663,49664,15.6,0.12871559999999999,1.8910723000000003
49664,49665,16.0,0.11270050000000001,1.9273930000000001
49665,49666,15.4,0.077334,1.9111278000000003
49666,49667,14.3,0.0590737,1.9419011000000002
49667,49668,15.4,0.0874776,1.9226283
49668,49669,14.6,0.0594763,1.9236528000000002
49669,49670,16.5,0.0580678,1.9294456000000002
49673,49674,14.6,0.1023333,1.9599741999999998
49674,49675,14.7,0.08978480000000001,1.9518732
49677,49678,15.8,0.07758129999999999,1.9547429
49761,49762,15.9,0.0802527,1.9169606
51111,51112,15.9,0.0811364,1.9463671999999999
51355,51356,15.2,0.1115354,1.8120096999999997
51370,51371,14.9,0.06167430000000001,1.8329441999999998
51374,51375,14.8,0.1092653,1.9428702000000002
51376,51377,15.7,0.0663957,1.9455174
51384,51385,15.8,0.0771008,1.9319398999999997
51385,51386,15.1,0.07642260000000001,1.9530564
51416,51417,15.8,0.10334449999999999,1.9537111
51417,51418,15.6,0.06664199999999999,1.9600715
51423,51424,15.9,0.0490589,1.9515378
51540,51541,15.6,0.025624099999999997,1.9338511999999999
51633,51634,15.7,0.0918432,1.9089556
52283,52284,15.1,0.0507613,1.9405299999999999
52313,52314,14.2,0.1015518,1.937186
52315,52316,15.1,0.06507,1.8970063999999998
52383,52384,15.3,0.1018747,1.8519580000000002
52438,52439,14.8,0.1425752,1.9266216
52459,52460,15.9,0.0403794,1.9459112
52524,52525,15.6,0.09016289999999999,1.9200081000000002
52525,52526,15.4,0.0947673,1.9286776
52528,52529,15.1,0.0720745,1.9242258999999997
52532,52533,14.7,0.0802886,1.9573952000000001
52533,52534,15.1,0.0514408,1.9230725
52689,52690,16.0,0.1166693,1.8899406000000003
52721,52722,14.7,0.15876010000000002,1.9328076
52747,52748,15.3,0.093196,1.9328421000000002
52752,52753,15.4,0.0547943,1.9713091
53416,53417,15.1,0.08064960000000002,1.8758806000000001
53420,53421,15.8,0.08449889999999999,1.922116
53421,53422,15.8,0.083891,1.9213293000000002
53423,53424,15.3,0.0627483,1.8661385
53425,53426,17.2,0.5385448,1.923136
53426,53427,15.9,0.0740047,1.9195685000000002
53427,53428,15.6,0.09195880000000001,1.9298634999999997
53430,53431,14.4,0.143952,1.8365357
53431,53432,15.7,0.11574809999999999,1.8718866000000003
53432,53433,15.4,0.0698955,1.8439431
53437,53438,15.1,0.083117,1.9315394000000001
53439,53440,15.6,0.0652033,1.9180125
53450,53451,15.6,0.1066507,1.9660459
53451,53452,15.8,0.0611605,1.9286413
53452,53453,14.9,0.0789388,1.9487265
53453,53454,15.0,0.0182608,1.9433711
53455,53456,15.2,0.10811939999999999,1.9469953999999998
53456,53457,15.4,0.0773398,1.9668512999999999
53521,53522,16.1,0.0417477,1.9668506000000001
53529,53530,14.9,0.11605530000000001,1.9588754000000002
54233,54234,15.5,0.0894321,1.9181701
54682,54683,15.6,0.06920599999999999,1.9370319999999999
54683,54684,15.7,0.040494800000000004,1.9339643
54707,54708,15.3,0.1157704,1.9757561999999997
54880,54881,15.7,0.0576703,1.9573717000000002
55531,55532,16.0,0.6956880999999999,1.7944244999999999
55719,55720,15.7,0.098584,1.9171462
55746,55747,16.0,0.09436,1.9766631999999997
55819,55820,16.8,0.06568589999999999,1.9283199
55843,55844,14.6,0.05304580000000001,1.9250151999999998
55853,55854,14.4,0.0897156,1.9305009999999998
55912,55913,15.4,0.08797150000000001,1.9292831999999998
55933,55934,15.9,0.08785989999999999,1.9391164
55963,55964,15.5,0.09642339999999999,1.9424317
55968,55969,16.0,0.15696970000000002,1.9200191999999998
56317,56318,15.5,0.06888760000000001,1.8693511000000003
56318,56319,15.7,0.10032680000000001,1.9342161
56320,56321,14.5,0.0485385,1.9371726000000002
56327,56328,16.0,0.0901202,1.9518379000000001
56333,56334,15.7,0.0615937,1.9725258999999997
